language,project,merge_sha,file,tool,conflicts,classification
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitionEffectTypeConverter.cs,csdiff,9,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitionEffectTypeConverter.cs,sepmerge,6,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/Transitioner.cs,diff3,16,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/Transitioner.cs,csdiff,25,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/Transitioner.cs,sepmerge,16,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitionerSlide.cs,diff3,12,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitionerSlide.cs,csdiff,31,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitionerSlide.cs,sepmerge,12,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitioningContent.cs,diff3,2,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitioningContent.cs,csdiff,5,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitioningContent.cs,sepmerge,2,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitioningContentBase.cs,diff3,20,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitioningContentBase.cs,csdiff,40,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/Transitions/TransitioningContentBase.cs,sepmerge,20,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/TreeViewAssist.cs,diff3,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/TreeViewAssist.cs,csdiff,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/TreeViewAssist.cs,sepmerge,1,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/ValidationAssist.cs,diff3,2,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/ValidationAssist.cs,csdiff,3,reportou_conflito
csharp,MaterialDesignInXamlToolkit,59f1b93f,MaterialDesignThemes.Wpf/ValidationAssist.cs,sepmerge,2,reportou_conflito
csharp,MaterialDesignInXamlToolkit,fa4dc25c,MainDemo.Wpf/Buttons.xaml.cs,diff3,7,reportou_conflito
csharp,MaterialDesignInXamlToolkit,fa4dc25c,MainDemo.Wpf/Buttons.xaml.cs,csdiff,7,reportou_conflito
csharp,MaterialDesignInXamlToolkit,fa4dc25c,MainDemo.Wpf/Buttons.xaml.cs,sepmerge,7,reportou_conflito
csharp,MaterialDesignInXamlToolkit,fa4dc25c,MaterialDesignThemes.Wpf/RatingBar.cs,diff3,6,reportou_conflito
csharp,MaterialDesignInXamlToolkit,fa4dc25c,MaterialDesignThemes.Wpf/RatingBar.cs,csdiff,9,reportou_conflito
csharp,MaterialDesignInXamlToolkit,fa4dc25c,MaterialDesignThemes.Wpf/RatingBar.cs,sepmerge,6,reportou_conflito
csharp,PowerShell,095be4655,src/System.Management.Automation/namespaces/FileSystemProvider.cs,diff3,0,correct
